drug_id,drug_name,synonyms,pathway_name,targets,pubchem
190,Bleomycin,-,"DNA replication","dsDNA break induction",several
574,Wnt-C59,-,"WNT signaling",PORCN,-
1054,Palbociclib,"PD0332991, PD-0332991, PF-00080665-73","Cell cycle","CDK4, CDK6",5330286
159,HG6-64-1,KIN001-206,"ERK MAPK signaling",BRAF,53302361
180,Thapsigargin,"Octanoic acid",Other,SERCA,446378
185,Linsitinib,"OSI-906, ASP-7487","IGF1R signaling",IGF1R,11640390
192,LFM-A13,DDE-28,"Other, kinases",BTK,54676905
228,"AKT inhibitor VIII","Akti-1/2, KIN001-102","PI3K/MTOR signaling","AKT1, AKT2, AKT3",10196499
254,Quizartinib,"AC220, AC 220, AC-220, Asp-2689","RTK signaling",FLT3,24889392
265,"Tubastatin A",-,"Chromatin histone acetylation","HDAC1, HDAC6, HDAC8",53394750
269,NSC-207895,"XI-006, NSC207895","p53 pathway",MDM4,42640
408,"Sphingosine Kinase 1 Inhibitor II",PF-543,"Other, kinases","Sphingosine Kinase",-
416,CAY10566,-,Other,"Stearoyl-CoA desaturase",-
438,Panobinostat,"Farydak, LBH589","Chromatin histone acetylation",HDAC,-
552,BAM7,-,Other,"Bax activator",-
1020,Lenalidomide,"CDC-501, CC-5013, Revlimid","Protein stability and degradation",CRBN,216326
1032,Afatinib,"BIBW2992, Tovok, Gilotrif","EGFR signaling","ERBB2, EGFR",10184653
1036,PLX-4720,"PLX4720, PLX 4720","ERK MAPK signaling",BRAF,24180719
1038,NU7441,"KU-57788, NU-7432, NU-7741","Genome integrity",DNAPK,11327430
1,Erlotinib,"Tarceva, RG-1415, CP-358774, OSI-774, Ro-508231, R-1415","EGFR signaling",EGFR,176870
104,Bortezomib,"PS-341, LDP-341, Velcade","Protein stability and degradation",Proteasome,387447
288,WHI-P97,"AC1L1GQE, KIN001-055","Other, kinases",JAK3,3796
29,AZ628,"AZ-628, AZ 628","ERK MAPK signaling",BRAF,11676786
308,Foretinib,"GSK1363089, XL-880, EXEL-2880, GSK089","RTK signaling","MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",42642645
333,T0901317,"TO-901317, TO901317",Other,"LXR, FXR",447912
382,Apitolisib,GDC0980,"PI3K/MTOR signaling","mTOR, PI3K",-
406,"LIMK1 inhibitor BMS4",-,Cytoskeleton,LIMK1,-
1069,EHT-1864,"EHT 1864",Cytoskeleton,"RAC1, RAC2, RAC3",9938202
1114,Cetuximab,"Erbitux, IMC-C225, C225, IMC-225, L01XC06","EGFR signaling",EGFR,85668777
1170,CCT-018159,"CCT018159, CCT 018159","Protein stability and degradation",HSP90,5327091
1219,PFI-1,-,"Chromatin other",BRD4,71271629
1268,XAV939,"NVP-XAV939, XAV-939, XAV 939","WNT signaling","TNKS1, TNKS2",2726824
150,Bicalutamide,"ICI-176334, Casodex, Cosudex, ICI 176334",Hormone-related,AR,2375
153,Midostaurin,"PKC412, benzoylstaurosporine, CGP-41251",Other,"PKC, PPK, FLT1, c-FGR, others",several
45,Z-LLNle-CHO,"Z-L-Norleucine-CHO, Gamma-Secretase Inhibitor 1",Other,gamma-secretase,16760646
54,CGP-082996,"CINK4, KIN001-021","Cell cycle",CDK4,24825971
60,BI-2536,-,"Cell cycle","PLK1, PLK2, PLK3",11364421
88,Entinostat,MS-275,"Chromatin histone acetylation","HDAC1, HDAC3",4261
89,Parthenolide,-,"Chromatin histone acetylation",HDAC1,7251185
282,Pelitinib,"EKB-569, EKB 569","EGFR signaling",EGFR,6445562
226,GSK1070916,GSK-1070916,Mitosis,"AURKA, AURKC",46885626
439,LCL161,-,"Apoptosis regulation","XIAP, cIAP1, cIAP2",-
1494,SN-38,"7-Ethyl-10-Hydroxy-Camptothecin, SN 38","DNA replication",TOP1,104842
223,ZSTK474,"KIN001-167, ZSTK-474, ZSTK 474","PI3K/MTOR signaling","PI3K (class 1)",11647372
211,TL-2-105,-,Other,"not defined",none
221,TAK-715,"KIN001-201, TAK 715","JNK and p38 signaling","p38alpha, p38beta",9952773
1530,PFI-3,BDF00016096,"Chromatin other","SMARCA2, SMARCA4, PB1",78243717
166,FTI-277,-,Other,"Farnesyl-transferase (FNTA)",3005532
177,GSK650394,"GSK-650394, GSK 650394","Other, kinases","SGK2, SGK3",25022668
184,BMS-754807,"BMS754807, BMS 754807","RTK signaling","IGF1R, IR",24785538
202,GSK1904529A,"GSK-1904529A, GSK 1904529A","RTK signaling","IGF1R, IR",25124816
222,BX-912,-,Metabolism,"PDK1 (PDPK1)",11754511
253,XMD14-99,-,"Other, kinases","ALK, CDK7, LTK, others",none
256,JW-7-24-1,-,"Other, kinases",LCK,none
407,"kb NB 142-70",-,"Other, kinases",PKD,-
436,"CAP-232, TT-232, TLN-232",-,Metabolism,Glycolysis,-
449,CD532,-,Mitosis,AURKA,-
474,ARRY-520,-,Mitosis,KIF11,-
576,"RU-SKI 43",-,Other,Shh,-
1004,Vinblastine,Velban,Mitosis,"Microtubule destabiliser",6710780
1005,Cisplatin,"cis-Diammineplatinum(II) dichloride, Platinol, CIS-DDP","DNA replication","DNA crosslinker",84691
1006,Cytarabine,"Ara-Cytidine, Arabinosyl Cytosine, U-19920",Other,Antimetabolite,6253
1007,Docetaxel,"RP-56976, Taxotere",Mitosis,"Microtubule stabiliser",148124
1008,Methotrexate,"Abitrexate, Amethopterin, Rheumatrex, Trexall, Folex","DNA replication",Antimetabolite,126941
1016,Temsirolimus,"CCI-779, Torisel","PI3K/MTOR signaling",MTOR,6918289
1022,AZD7762,"AZD-7762, AZD 7762","Cell cycle","CHEK1, CHEK2",11152667
1024,Lestaurtinib,"CEP-701, SP-924, SPM-924, A-154475, KT-555","Other, kinases","FLT3, JAK2, NTRK1, NTRK2, NTRK3",126565
1059,AZD8055,AZD-8055,"PI3K/MTOR signaling","MTORC1, MTORC2",25262965
1061,SB590885,SB-590885,"ERK MAPK signaling",BRAF,11316960
290,KIN001-260,"Bayer IKKb inhibitor, ACHP","Other, kinases",IKKB,10451420
310,YM201636,"YM-201636, YM 201636","PI3K/MTOR signaling",PIKFYVE,9956222
312,Tivozanib,"AV-951, AV 951, KRN-951, KIL8951, ASP-4130","RTK signaling","VEGFR1, VEGFR2, VEGFR3",9911830
344,THZ-2-49,-,"Cell cycle",CDK9,none
363,PF-00299804,-,"RTK signaling","EGFR, ERBB2, ERBB4",-
374,GSK1059615,-,"PI3K/MTOR signaling",PI3K,-
1066,AZD6482,"AZD 6482, AZD-6482, AK-55409","PI3K/MTOR signaling",PI3Kbeta,44137675
1133,Serdemetan,JNJ-26854165,"p53 pathway",MDM2,11609586
1230,IOX2,"IOX-2, IOX 2, AK176060",Other,EGLN1,54685215
1373,Dabrafenib,"GSK2118436, Tafinlar","ERK MAPK signaling",BRAF,44462760
140,Vinorelbine,"vinorelbine tartrate, Navelbine, Exelbine",Mitosis,"Microtubule destabiliser",5311497
1527,Pictilisib,"GDC-0941, GDC0941, RG-7621","PI3K/MTOR signaling","PI3K (class 1)",17755052
1529,Pevonedistat,"MLN4924, MLN 4924, MLN-4924",Other,NAE,16720766
51,Dasatinib,"BMS-354825-03, BMS-354825, Sprycel","RTK signaling","ABL, SRC, Ephrins, PDGFR, KIT",3062316
52,GNF-2,KIN001-013,"ABL signaling",BCR-ABL,5311510
56,WH-4-023,KIN001-112,"Other, kinases","SRC, LCK",11844351
86,A-443654,KIN001-139,"PI3K/MTOR signaling","AKT1, AKT2, AKT3",10172943
94,TGX221,"TGX-221, Tgx 221","PI3K/MTOR signaling",PI3Kbeta,9907093
346,THZ-2-102-1,-,"Cell cycle",CDK7,none
1149,"TW 37","TW37, TW-37","Apoptosis regulation","BCL2, BCL-XL, MCL1",11455910
231,FMK,KIN001-242,"Other, kinases",RSK,none
154,CHIR-99021,"CT 99021, CHIR99021, CHIR 99021","WNT signaling","GSK3A, GSK3B",9956119
155,Ponatinib,"AP24534, AP-24534, KIN001-192, Iclusig","Other, kinases","ABL, PDGFRA, VEGFR2, FGFR1, SRC, TIE2, FLT3",24826799
173,FH535,-,Other,"PPARgamma, PPARdelta",3463933
197,"Bryostatin 1",Bryostatin,Other,PKC,5280757
207,AS601245,-,"JNK and p38 signaling","JNK1, JNK2, JNK2",10109823
266,Zibotentan,"ZD4054, ZD-4054",Other,"Endothelin-1 receptor (EDNRA)",9910224
275,I-BET-762,GSK525762A,"Chromatin other","BRD2, BRD3, BRD4",46943432
276,CAY10603,-,"Chromatin histone acetylation","HDAC1, HDAC6",24951314
409,"eEF2K Inhibitor, A-484954",-,"Other, kinases",eEF2K,-
412,Venotoclax,"ABT-199, Veneclexta, GDC-0199","Apoptosis regulation","BCL-2 selective",-
447,ETP-45835,-,"Other, kinases","MNK1, MNK2",-
1010,Gefitinib,"ZD-1839, Iressa","EGFR signaling",EGFR,123631
1011,Navitoclax,"ABT-263, ABT263, ABT 263","Apoptosis regulation","BCL2, BCL-XL, BCL-W",24978538
1029,Motesanib,"AMG-706, AMG 706, AMG706","RTK signaling","VEGFR, RET, KIT, PDGFR",11667893
302,PI-103,"PI-103, PI103, PI 103","Other, kinases","PI3Kalpha, DAPK3, CLK4, PIM3, HIPK2",9884685
303,PIK-93,"PIK 93, PIK93","PI3K/MTOR signaling",PI3Kgamma,6852167
304,SB52334,"SB-52334, SB 52334","Other, kinases",ALK5,9967941
306,Fedratinib,"TG101348, TG-101348, SAR302503, SAR-302503","Other, kinases",JAK2,16722836
330,XMD13-2,-,"Apoptosis regulation",RIPK1,none
345,KIN001-270,"CDK9 inhibitor, CDK9-IN-1","Cell cycle",CDK9,66577006
375,Voxtalisib,"XL-765, SAR245409","PI3K/MTOR signaling","PI3K (class 1), DNAPK, MTOR",-
1218,JQ1,"JQ-1, (+)-JQ-1","Chromatin other","BRD2, BRD3, BRD4, BRDT",46907787
1239,YK-4-279,"YK 4-279",Other,"RNA helicase A",44632017
136,Mitomycin-C,"Mytozytrex, NSC-26980, MMC, Mitosol, Mitozytrex","DNA replication","DNA crosslinker",5746
1495,Olaparib,"AZD2281, KU0059436,  Lynparza","Genome integrity","PARP1, PARP2",23725625
11,Paclitaxel,"BMS-181339-01, Taxol, Onxol, Paxene, Praxel, Abraxane",Mitosis,"Microtubule stabiliser",36314
35,NVP-TAE684,"NVP-TAE 684, TAE684, TAE-684","RTK signaling",ALK,16038120
41,S-Trityl-L-cysteine,"NSC 83265, Tritylcysteine",Mitosis,KIF11,76044
71,Pyrimethamine,"Daraprim, Chloridine",Other,"Dihydrofolate reductase (DHFR)",4993
9,MG-132,"LLL cpd, MG 132, MG132","Protein stability and degradation","Proteasome, CAPN1",462382
1057,Dactolisib,"NVP-BEZ235, BEZ235","PI3K/MTOR signaling","PI3K (class 1), MTORC1, MTORC2",11977753
205,Avagacestat,"BMS-708163, BMS 708163",Other,"Amyloid beta20, Amyloid beta40",46883536
1047,"Nutlin-3a (-)",-,"p53 pathway",MDM2,11433190
238,Idelalisib,"CAL-101, Zydelig","PI3K/MTOR signaling",PI3Kdelta,11625818
172,Embelin,"Emberine, Embelic acid","Apoptosis regulation",XIAP,3218
175,PAC-1,GTPL5238,"Apoptosis regulation","Procaspase-3, Procaspase-7",6753378
176,IPA-3,"IPA 3",Cytoskeleton,PAK1,521106
178,BAY-61-3606,"Syk Inhibitor, BAY-613606","Other, kinases",SYK,10200390
182,"Obatoclax Mesylate","GX15-070MS, Obatoclax, GX15-070","Apoptosis regulation","BCL2, BCL-XL, BCL-W, MCL1",11404337
193,GW-2580,"GX2580, CFMS receptor tyrosine kinase inhibitor","RTK signaling",CSF1R,11617559
225,"Genentech Cpd 10",-,Mitosis,"AURKA, AURKB",none
235,QL-XII-47,-,"Other, kinases","BTK, BMX",none
245,UNC0638,"UNC-0638, UNC 0683","Chromatin histone methylation","G9a and GLP methyltransferases",46224516
274,Belinostat,"PXD101, PXD-101","Chromatin histone acetylation",HDAC1,6918638
415,CPI-613,-,Other,"Metabo, Mitochondria",-
431,Alisertib,MLN8237,Mitosis,AURKA,-
437,"Trichostatin A",-,"Chromatin histone acetylation",HDAC,-
478,LDN-193189,-,Other,BMP,-
562,AGI-6780,-,Metabolism,IDH2(R140Q),-
563,Kobe2602,-,"RTK signaling","RAS effector",-
1009,Tretinoin,"ATRA, Vesanoid, Renova, Atralin, Tretin-X, Avita",Other,"Retinoic acid",444795
1021,Axitinib,"AG-13736, Inlyta","RTK signaling","PDGFR, KIT, VEGFR",6450551
1039,SL0101,"SL-0101, SL 0101-1","Other, kinases","RSK, AURKB, PIM1, PIM3",10459196
106,XMD8-85,ERK5-IN-1,Other,"ERK5, BET",46844147
286,KIN001-236,-,"RTK signaling","Angiopoietin-1 receptor",none
292,Masitinib,"AB1010, Masivet","RTK signaling","KIT, PDGFRA, PDGFRB",10074640
298,OSI-930,"OSI 930 OSI930","RTK signaling",KIT,9868037
300,CX-5461,"CX5461, CX 5461",Other,"RNA Polymerase 1",25257557
309,Y-39983,-,Cytoskeleton,ROCK,9810884
328,SNX-2112,"SNX 2112","Protein stability and degradation",HSP90,24772860
329,QL-XI-92,-,Cytoskeleton,DDR1,none
331,QL-X-138,-,"Other, kinases",BTK,none
342,Tenovin-6,-,"Chromatin histone acetylation",SIRT,-
356,AT7867,-,"PI3K/MTOR signaling",AKT,-
366,TWS119,-,"WNT signaling",GSK3,-
371,"Torin 2",-,"PI3K/MTOR signaling",mTOR,-
376,"Brivanib, BMS-540215",-,"RTK signaling","VEGFR, PDGFR",-
1192,GSK269962A,"GSK 269962A",Cytoskeleton,"ROCK1, ROCK2",16095342
135,Gemcitabine,"Gemzar, LY-188011","DNA replication","Pyrimidine antimetabolite",60750
1372,Trametinib,"GSK1120212, Mekinist","ERK MAPK signaling","MEK1, MEK2",11707110
1498,Selumetinib,"AZD6244, AZD-6244, ARRY-886","ERK MAPK signaling","MEK1, MEK2",10127622
151,QS11,944328-88-5,Other,ARFGAP1,4263900
111,Salubrinal,"EIF-2alpha Inhibitor",Other,EIF2A,5717801
5,Sunitinib,"Sutent, Sunitinib Malate, SU-11248","RTK signaling","PDGFR, KIT, VEGFR, FLT3, RET, CSF1R",5329102
64,CMK,KIN001-128,"Other, kinases",RSK2,16663089
83,JW-7-52-1,NA,"PI3K/MTOR signaling",MTOR,49836027
1060,PD0325901,"PD-0325901, PD 0325901","ERK MAPK signaling","MEK1, MEK2",9826528
252,WZ3105,-,Other,"SRC, ROCK2, NTRK2, FLT3, IRAK1, others",none
427,Ara-G,"9-??-D-Arabinofuranosyl guanine",Other,Anti-metabolite,-
477,A-83-01,-,Other,TGFB,-
206,Ruxolitinib,"INCB-18424, Ruxolitinib Phosphate, Jakafi","Other, kinases","JAK1, JAK2",25126798
230,GSK429286A,-,Cytoskeleton,"ROCK1, ROCK2",11373846
156,AZD6482,"AZD 6482, AZD-6482, AK-55409","PI3K/MTOR signaling",PI3Kbeta,44137675
157,JNK-9L,"KIN001-204, JNK inhibitor 9l","JNK and p38 signaling","JNK2, JNK3",25222038
158,PF-562271,PF-00562271,Cytoskeleton,"FAK, FAK2",11713159
165,DMOG,Dimethyloxalylglcine,Metabolism,HIF-PH,560326
170,Shikonin,Anchusin,Other,"not defined",5208
196,Phenformin,DBI,Other,"Biguanide agent",8249
203,BMS-345541,"BMS345541, IKK Inhibitor 3","Other, kinases","IKK1, IKK2",9813758
258,STF-62247,STF62247,Other,"Autophagy inducer",704473
263,FR-180204,"FR 180204, FR180204, ERK Inhibitor II","ERK MAPK signaling","ERK1, ERK2",11493598
1012,Vorinostat,"Zolinza, SAHA, suberanilohydroxamic acid, suberoylanilide hydroxamic acid, MK-0683","Chromatin histone acetylation","HDAC inhibitor Class I, IIa, IIb, IV",5311
1026,Tanespimycin,"17-AAG, BMS-722782","Protein stability and degradation",HSP90,6505803
1033,Vismodegib,"GDC0449, Erivedge",Other,SMO,24776445
1049,PD173074,"PD-173074, PD 173074","RTK signaling","FGFR1, FGFR3",1401
1052,RO-3306,-,"Cell cycle",CDK1,44450571
291,KIN001-266,-,"ERK MAPK signaling",MAP3K8,44143370
289,KIN001-042,-,"WNT signaling",GSK3B,-
326,GSK690693,"GSK 690693, GSK-690693","PI3K/MTOR signaling","AKT1, AKT2, AKT3",16725726
341,Selisistat,"EX-527, EX 527","Chromatin histone acetylation",SIRT1,5113032
1199,Tamoxifen,"Nolvadex, Soltamox, Zynoplex, ICI-46474, Kessar",Hormone-related,ESR1,2733526
1241,CHIR-99021,"CT 99021, CHIR99021, CHIR 99021","WNT signaling","GSK3A, GSK3B",9956119
1243,Piperlongumine,Piplartine,Other,"Induces reactive oxygen species",637858
1263,UNC0642,-,"Chromatin histone methylation","G9a(EHMT2), GLP(EHMT1)",-
1264,SGC0946,-,"Chromatin histone methylation",DOT1L,56962337
133,Doxorubicin,"Doxil, Rubex, Adriamycin, Adriablastin, Doxorubicine","DNA replication",Anthracycline,31703
1371,PLX-4720,"PLX4720, PLX 4720","ERK MAPK signaling",BRAF,24180719
1377,Afatinib,"BIBW2992, Tovok, Gilotrif","EGFR signaling","ERBB2, EGFR",10184653
1143,HG-5-88-01,-,"Other, kinases","EGFR, ADCK4",none
119,Lapatinib,"Tykerb, Tyverb","RTK signaling","ERBB2, EGFR",208908
1203,QL-XII-61,-,"Other, kinases","BMX, BTK",none
55,A-770041,KIN001-111,"Other, kinases","LCK, FYN",9549184
17,Cyclopamine,-,Other,SMO,several
283,Omipalisib,"GSK2126458, GSK-2126458, EX-8678, GSK458","PI3K/MTOR signaling","PI3K (class 1), MTORC1, MTORC2",25167777
573,LGK974,-,"WNT signaling",PORCN,-
229,Enzastaurin,LY317615,"Other, kinases",PKCB,176167
171,"AKT inhibitor VIII","Akti-1/2, KIN001-102","PI3K/MTOR signaling","AKT1, AKT2, AKT3",10196499
186,Bexarotene,"LG-100069, Targretin, Targret, Targrexin, Targretyn, Bexarotenum",Other,"Retinioic X receptor (RXR) agonist",82146
194,Luminespib,"AUY922, VER-52296,NVP-AUY922,  AUY","Protein stability and degradation",HSP90,10096043
201,"Epothilone B","Patupilone, EpoB, EPO906, GNF-PF-193",Mitosis,"Microtubule stabiliser",448013
204,Tipifarnib,Zarnestra,Other,"Farnesyl-transferase (FNTA)",159324
208,"Ispinesib Mesylate",SB-715992,Mitosis,KSP,6450816
236,IC-87114,-,"PI3K/MTOR signaling",PI3Kdelta,-
268,"Sepantronium bromide","YM155, YM-155, YM 155","Apoptosis regulation",BIRC5,11178236
273,CUDC-101,"CUDC 101",Other,"HDAC1-10, EGFR, ERBB2",24756910
277,Linifanib,"ABT-869, ABT 869","RTK signaling","VEGFR1, VEGFR2, VEGFR3, CSF1R, FLT3, KIT",11485656
442,IMD-0354,-,"Other, kinases",IKKb,-
1013,Nilotinib,"Tasigna, AMN 107","ABL signaling",ABL,644241
1014,Refametinib,"RDEA119, BAY-86-9766, BAY 869766","ERK MAPK signaling","MEK1, MEK2",44182295
1015,CI-1040,"CI 1040, PD-18435, PD-184352, 212631-79-3","ERK MAPK signaling","MEK1, MEK2",6918454
1025,SB216763,"SB-216763, SB 216763","WNT signaling","GSK3A, GSK3B",176158
1028,VX-702,"VX702, VX 702","JNK and p38 signaling",p38,10341154
1030,KU-55933,KU55933,"Genome integrity",ATM,5278396
1037,BX795,BX-795,"Other, kinases","TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC",10077147
1042,Doramapimod,"BIRB-796, BIRB 796","JNK and p38 signaling","p38, JNK2",156422
1048,Mirin,-,"Genome integrity",MRE11,none
279,BIX02189,"BIX 02189","ERK MAPK signaling","MEK5, ERK5",46931012
281,Alectinib,"CH5424802, CH 542802, Alecensa","RTK signaling",ALK,49806720
332,XMD15-27,-,"Other, kinases",CAMK2,none
380,BIBF-1120,-,"RTK signaling","VEGFR, PDGFR, FGFR",-
1067,CCT007093,-,"Cell cycle",PPM1D,2314623
1091,BMS-536924,"BMS 536924","IGF1R signaling","IGF1R, IR",10390396
1248,Daporinad,"APO866,  FK866, FK866",Metabolism,NAMPT,6914657
134,Etoposide,"Etopophos, Vepesid, Eposin, VP-16","DNA replication",TOP2,36462
1375,Temozolomide,"Temodar, Temodal, M-39831, SCH 52365","DNA replication","DNA alkylating agent",5394
147,NSC-87877,"NSC 87877",Other,"SHP-1 (PTPN6), SHP-2 (PTPN11)",5459322
1526,Refametinib,"RDEA119, BAY-86-9766, BAY 869766","ERK MAPK signaling","MEK1, MEK2",44182295
37,Crizotinib,"Xalkori, PF2341066, PF-2341066, PF 2341066","RTK signaling","MET, ALK, ROS1",11626560
38,Saracatinib,"AZD0530, AZD-0530, AZ-10353926","Other, kinases","ABL, SRC",10302451
53,CGP-60474,"KIN001-019, CGP60474, CGP 60474","Cell cycle","CDK1,CDK2,CDK5,CDK7,CDK9, PKC",644215
63,BMS-509744,"KIN001-127, ITK inhibitor","Other, kinases",ITK,20635522
